"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"05/30/2023","Credit Interest","","SCHWAB1 INT 04/27-05/29","","","","$75.31"
"05/30/2023","Buy","BE","BLOOM ENERGY CORP CLASS A","200","$13.9889","","-$2797.78"
"05/30/2023","Buy","AAL","AMERICAN AIRLS GROUP","400","$14.60","","-$5840.00"
"05/30/2023","Buy","BLDP","BALLARD POWER SYS F","1,500","$4.2387","","-$6358.05"
"05/23/2023","Sell","TSLA","TESLA INC","30","$191.00","$0.05","$5729.95"
"05/23/2023","Sell","PLUG","PLUG POWER INC","600","$8.95","$0.12","$5369.88"
"05/16/2023","Buy","TSLA","TESLA INC","30","$168.40","","-$5052.00"
"05/09/2023","Buy","BE","BLOOM ENERGY CORP CLASS A","150","$16.6861","","-$2502.92"
"05/09/2023","Buy","RIVN","RIVIAN AUTOMOTIVE INC CLASS A","300","$13.9422","","-$4182.66"
"05/09/2023","Buy","PLUG","PLUG POWER INC","600","$7.9933","","-$4795.98"
"05/09/2023","Buy","BLDP","BALLARD POWER SYS F","1,100","$4.48","","-$4928.00"
"05/03/2023","Sell","BE","BLOOM ENERGY CORP CLASS A","300","$16.3001","$0.08","$4889.95"
"05/03/2023","Sell","BLDP","BALLARD POWER SYS F","1,000","$4.2601","$0.18","$4259.92"
"05/02/2023","Buy","BLDP","BALLARD POWER SYS F","1,000","$4.1505","","-$4150.50"
"05/02/2023","Buy","BE","BLOOM ENERGY CORP CLASS A","300","$16.0575","","-$4817.25"
"04/27/2023","NRA Tax Adj","","SCHWAB1 INT 03/30-04/26","","","","-$9.87"
"04/27/2023","Credit Interest","","SCHWAB1 INT 03/30-04/26","","","","$65.80"
"04/27/2023","Sell","META","META PLATFORMS INC CLASS A","20","$241.25","$0.04","$4824.96"
"03/30/2023","Reinvest Shares","VOOG","VANGUARD S&P ...500 GROWTH ETF","0.0113","$226.9307","","-$2.57"
"03/30/2023","NRA Tax Adj","","SCHWAB1 INT 02/27-03/29","","","","-$10.61"
"03/30/2023","Credit Interest","","SCHWAB1 INT 02/27-03/29","","","","$70.78"
"03/29/2023","Reinvest Dividend","VOOG","VANGUARD S&P ...500 GROWTH ETF","","","","$3.43"
"03/29/2023","NRA Tax Adj","VOOG","VANGUARD S&P ...500 GROWTH ETF","","","","-$0.86"
"03/23/2023","Sell","BLDP","BALLARD POWER SYS F","1,016","$5.6315","$0.20","$5721.40"
"03/15/2023","Sell","QQQ","INVSC QQQ TRUST SRS 1 ETF","0.0279","$295.67","","$8.25"
"03/15/2023","Sell","QQQ","INVSC QQQ TRUST SRS 1 ETF","15","$295.67","$0.04","$4435.01"
"03/15/2023","Buy","BLDP","BALLARD POWER SYS F","1,016","$4.925","","-$5003.80"
"03/02/2023","Reinvest Shares","INTC","INTEL CORP","3.3822","$25.4951","","-$86.23"
"03/02/2023","Sell","TSLA","TESLA INC","25","$190.685","$0.04","$4767.09"
"03/01/2023","NRA Tax Adj","INTC","INTEL CORP","","","","-$28.75"
